"taxonID"	"gbifNameUsage"	"gbifStatus"	"threatStatusGlobal"
"20200407212453"	"Pseudogynoxys chenopodioides (Kunth) Cabrera"	"ACCEPTED"	
"08ee4e0e-483b-4439-b6f2-e61d360c1126"	"Pterocypsela indica (L.) C.Shih"	"HOMOTYPIC_SYNONYM"	
"20200407214126"	"Rudbeckia hirta L."	"ACCEPTED"	
"02ea9351-c33d-4e4b-b407-0e894ba4147a"	"Sigesbeckia orientalis L."	"ACCEPTED"	
"f7b0033b-7bb3-4174-918c-124d327391a8"	"Sphagneticola trilobata (L.) Pruski"	"ACCEPTED"	
"08474ee0-6c4b-4961-abdf-ceb70cdf0d01"	"Spilanthes mauritiana (Rich. ex Pers.) DC."	"SYNONYM"	
"20200407150840"	"Symphyotrichum laeve (L.) Á.Löve & D.Löve"	"ACCEPTED"	
"bd55ac32-053e-402a-a749-3b334cc3c4dc"	"Synedrella nodiflora (L.) Gaertn."	"ACCEPTED"	
"ce3c4517-6217-4ddb-8ed2-9f7c3eca1298"	"Tagetes erecta L."	"ACCEPTED"	
"f28ad647-a508-4ba3-964a-6ad0178565fb"	"Tithonia diversifolia (Hemsl.) A.Gray"	"ACCEPTED"	
"bf51c503-bf74-4e61-8ed5-0b4af13bbb99"	"Tridax procumbens L."	"ACCEPTED"	
"4b32bfe7-1360-4046-a8ad-783141ec8ddf"	"Vernonia sechellensis Baker"	"ACCEPTED"	"EX"
"9c7d395e-1510-4ff7-8967-cca7ea0c8566"	"Wollastonia biflora (L.) DC."	"ACCEPTED"	
"f197b7be-2cfb-463a-baf1-4432c3aa9008"	"Youngia japonica (L.) DC."	"ACCEPTED"	
"cdc5e804-efa5-4af8-853d-f7ca0b159d9e"	"Zinnia angustifolia Kunth"	"ACCEPTED"	
"caa0b0e4-74c9-422d-9ab3-d1600c9bd91c"	"Zinnia elegans Jacq."	"ACCEPTED"	
"addb8f83-59b5-4e7a-b73b-3b218281b646"	"Avicennia marina subsp. marina"	"ACCEPTED"	
"1ec31174-a0b2-4fe6-8fbd-32a790842e46"	"Impatiens balsamina L."	"ACCEPTED"	
"23f5c0bf-808a-4f09-9690-e298ae3162d4"	"Impatiens gordonii Horne ex Baker"	"DOUBTFUL"	"CR"
"cf000e76-8e0b-4c58-a4d3-383703807e98"	"Impatiens walleriana Hook.fil."	"ACCEPTED"	
"1c41f323-0a94-4b90-8cb0-6930515e1bd1"	"Basella alba L."	"ACCEPTED"	
"e1b25085-f9dd-41bb-8e09-f7bab59949ce"	"Begonia coccinea Hook."	"ACCEPTED"	
